Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-04 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-05 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-06 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-09 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-10 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-11 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-12 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-13 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-16 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-17 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-18 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-19 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-20 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-23 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-24 00:00:00+08:00,0.7321439981460571,0.7321439981460571,0.7321439981460571,0.7321439981460571,0,0.0,0.0
2006-01-25 00:00:00+08:00,0.8050419688224792,0.8050419688224792,0.7765163899968909,0.8050419688224792,57504533,0.0,0.0
2006-02-06 00:00:00+08:00,0.7987030974321008,0.8272277656657326,0.7860253148861908,0.8208888173103333,31940078,0.0,0.0
2006-02-07 00:00:00+08:00,0.824058691485688,0.824058691485688,0.7923641242330678,0.7987030148506165,22100515,0.0,0.0
2006-02-08 00:00:00+08:00,0.7987030856737645,0.8018720746040344,0.786025303314494,0.8018720746040344,13624726,0.0,0.0
2006-02-09 00:00:00+08:00,0.8018720134039828,0.8367365401379424,0.795533122708141,0.8113808631896973,22759856,0.0,0.0
2006-02-10 00:00:00+08:00,0.8113809425693265,0.827227771282196,0.798703102854896,0.827227771282196,25992202,0.0,0.0
2006-02-13 00:00:00+08:00,0.8367365105760798,0.8557532390741839,0.8303975630217536,0.8494143486022949,49464909,0.0,0.0
2006-02-14 00:00:00+08:00,0.8494144136043116,0.8525833453408271,0.8303976265684978,0.8462444543838501,16684163,0.0,0.0
2006-02-15 00:00:00+08:00,0.8462445028401362,0.8684311932843884,0.8399056115201918,0.8430755138397217,23498617,0.0,0.0
2006-02-16 00:00:00+08:00,0.8399055288263505,0.8557532693079066,0.8082109611822637,0.8113808631896973,18848610,0.0,0.0
2006-02-17 00:00:00+08:00,0.8113808998605611,0.871600135862947,0.8050420088782292,0.8525833487510681,38628933,0.0,0.0
2006-02-20 00:00:00+08:00,0.8494144261236753,0.8811089955405836,0.8462444668564925,0.8652611970901489,34074717,0.0,0.0
2006-02-21 00:00:00+08:00,0.8652612592677087,0.9191425220573568,0.8652612592677087,0.8811090588569641,61645109,0.0,0.0
2006-02-22 00:00:00+08:00,0.8811088297953985,0.8937866095113937,0.8589221444680916,0.8842777609825134,29434065,0.0,0.0
2006-02-23 00:00:00+08:00,0.8906168597784809,0.9318202787876433,0.8874478709686028,0.9286503195762634,56822484,0.0,0.0
2006-02-24 00:00:00+08:00,0.9254813985887282,0.9508370783670256,0.90963365633834,0.941328227519989,49606534,0.0,0.0
2006-02-27 00:00:00+08:00,0.9413282044559438,0.9413282044559438,0.9128035934168783,0.919142484664917,30255325,0.0,0.0
2006-02-28 00:00:00+08:00,0.915972462357322,0.9191424215055123,0.8874478532783415,0.9128035306930542,24641415,0.0,0.0
